Unknown Frame: size=14286, net_delay=62, decode_delay=16, encode_delay=14, total_delay=92, md5=96f47205b5dbc8f3f134b6f4fb56f5d2
Unknown Frame: size=13794, net_delay=59, decode_delay=9, encode_delay=14, total_delay=82, md5=fb60b1393ed7b60fc0b358dd934df967
Unknown Frame: size=17837, net_delay=59, decode_delay=11, encode_delay=14, total_delay=84, md5=1899c9d1d9f071e8c02e2b580b9087d6
Unknown Frame: size=9509, net_delay=63, decode_delay=7, encode_delay=12, total_delay=82, md5=e18fc57fae15d09e55091a5ea13450ae
Unknown Frame: size=16353, net_delay=62, decode_delay=9, encode_delay=14, total_delay=85, md5=b53c65c893cef2dc23c3728bef5b2c8b
Unknown Frame: size=25802, net_delay=61, decode_delay=13, encode_delay=16, total_delay=90, md5=516a4712904c9050cdc5551e4b31b56d
Unknown Frame: size=24514, net_delay=62, decode_delay=12, encode_delay=17, total_delay=91, md5=94731047c96f4ac1a334cdfd352a7286
Unknown Frame: size=20169, net_delay=64, decode_delay=11, encode_delay=15, total_delay=90, md5=d9eca3582eb2c638d958c80856a1c240
Unknown Frame: size=27399, net_delay=62, decode_delay=14, encode_delay=18, total_delay=94, md5=22337d06fa9012ddf1f7ff98765d2bc1
Unknown Frame: size=17793, net_delay=65, decode_delay=12, encode_delay=16, total_delay=93, md5=cb635d8e4a96b209ab7b8c8185693f92
Unknown Frame: size=16246, net_delay=66, decode_delay=12, encode_delay=15, total_delay=93, md5=fe980c13b25548d4f53258e1d84252fb
Unknown Frame: size=16810, net_delay=66, decode_delay=11, encode_delay=15, total_delay=92, md5=2baac5250bf88f95eac86c075ce8da33
Unknown Frame: size=16890, net_delay=67, decode_delay=11, encode_delay=14, total_delay=92, md5=5e56dd286b64ea6f2ff0a39dfc5a45ce
Unknown Frame: size=14381, net_delay=67, decode_delay=10, encode_delay=14, total_delay=91, md5=3616fccd8fb28f0842b6bf9561613c2e
Unknown Frame: size=13985, net_delay=64, decode_delay=10, encode_delay=16, total_delay=90, md5=0d83748ba92e45b4029cb2b1cafc0c49
Unknown Frame: size=19544, net_delay=65, decode_delay=12, encode_delay=15, total_delay=92, md5=f13cd3cc6d51907f6256563a00861878
Unknown Frame: size=17425, net_delay=67, decode_delay=11, encode_delay=15, total_delay=93, md5=04b1441718098cc4fffdee8e0bf5d485
Unknown Frame: size=17477, net_delay=66, decode_delay=11, encode_delay=15, total_delay=92, md5=2917dfa06d3e197798b4d26963f61d02
Unknown Frame: size=21675, net_delay=68, decode_delay=16, encode_delay=15, total_delay=99, md5=2663c10d2b42ffba8b3e46929120e8e4
Unknown Frame: size=15310, net_delay=65, decode_delay=10, encode_delay=15, total_delay=90, md5=43f166e6b4e4fd3537eef7a8430a5643
Unknown Frame: size=14811, net_delay=65, decode_delay=10, encode_delay=15, total_delay=90, md5=9768d6023e7cfca8eb79bb7c94305ef1
Unknown Frame: size=21101, net_delay=66, decode_delay=11, encode_delay=15, total_delay=92, md5=8f585f80eb39f07b1185ee474541de33
Unknown Frame: size=13378, net_delay=66, decode_delay=10, encode_delay=14, total_delay=90, md5=ff122938c1ca78e06a69eb6884e8a8b3
Unknown Frame: size=20432, net_delay=67, decode_delay=12, encode_delay=15, total_delay=94, md5=44dc5b80b3c71aa4cecf1b83555904d3
Unknown Frame: size=18373, net_delay=68, decode_delay=12, encode_delay=15, total_delay=95, md5=d202d15790898e12382610d12de188d4
Unknown Frame: size=18384, net_delay=68, decode_delay=11, encode_delay=15, total_delay=94, md5=a92460d7bc1dcbc45bf8c1557f8feb37
Unknown Frame: size=21305, net_delay=66, decode_delay=12, encode_delay=16, total_delay=94, md5=c126aa70f4b537ce47dd4374e114fae2
Unknown Frame: size=23523, net_delay=67, decode_delay=12, encode_delay=17, total_delay=96, md5=d2dde80c2edf7e1d65852e462e64be6c
Unknown Frame: size=45515, net_delay=68, decode_delay=16, encode_delay=20, total_delay=104, md5=a65838b45868c0a16a6c250fd924b8ea
Unknown Frame: size=20136, net_delay=70, decode_delay=12, encode_delay=15, total_delay=97, md5=e708e1a6de2c2b0073c4563c78de7fb0
Unknown Frame: size=21075, net_delay=70, decode_delay=12, encode_delay=16, total_delay=98, md5=d1426b0a8c61368cc7b43b415afc4cb1
Unknown Frame: size=33878, net_delay=70, decode_delay=14, encode_delay=18, total_delay=102, md5=a13580827c9b8623d47afe60088cbdd0
Unknown Frame: size=25955, net_delay=71, decode_delay=12, encode_delay=17, total_delay=100, md5=f25e0f3b9e8568350713783a8f4c5765
Unknown Frame: size=42445, net_delay=79, decode_delay=16, encode_delay=21, total_delay=116, md5=cf854b4d97397a6dd0a7e06fa1d17e0e
Unknown Frame: size=34961, net_delay=93, decode_delay=15, encode_delay=20, total_delay=128, md5=29914f3e3b3cb8c2a6443a8c254560af
Unknown Frame: size=32954, net_delay=101, decode_delay=14, encode_delay=18, total_delay=133, md5=669860240ff161f0083cab7370f5f536
Unknown Frame: size=19599, net_delay=93, decode_delay=12, encode_delay=16, total_delay=121, md5=fe0febd3f357299d907d36412b2850e1
Unknown Frame: size=20681, net_delay=85, decode_delay=11, encode_delay=16, total_delay=112, md5=d39278a84be533946c8cc52a45b94257
Unknown Frame: size=41268, net_delay=98, decode_delay=15, encode_delay=20, total_delay=133, md5=1462ff6731c04d56fc9b6ec45755dcaa
Unknown Frame: size=23246, net_delay=97, decode_delay=12, encode_delay=16, total_delay=125, md5=816cab93d792e8204ef5c4f309ddf24a
Unknown Frame: size=23966, net_delay=90, decode_delay=12, encode_delay=18, total_delay=120, md5=2b944ebe3a0ac90f6e4152911b490830
Unknown Frame: size=34011, net_delay=98, decode_delay=14, encode_delay=19, total_delay=131, md5=3ffcb71d257831a0da24d194477544ba
Unknown Frame: size=27232, net_delay=99, decode_delay=13, encode_delay=17, total_delay=129, md5=5548ed1358d8a73d42eca40f54698920
Unknown Frame: size=26153, net_delay=98, decode_delay=13, encode_delay=17, total_delay=128, md5=33123016d85d40a06c6adb17c9505431
Unknown Frame: size=23659, net_delay=94, decode_delay=12, encode_delay=17, total_delay=123, md5=3d528186262572a67c2ac4fc2e530369
Unknown Frame: size=31073, net_delay=96, decode_delay=14, encode_delay=19, total_delay=129, md5=5581de2628a87fea690f2742e2470c70
Unknown Frame: size=30575, net_delay=99, decode_delay=14, encode_delay=19, total_delay=132, md5=2a7fdc6ff2646ed760c3043336c1ce9b
Unknown Frame: size=25212, net_delay=95, decode_delay=13, encode_delay=20, total_delay=128, md5=1d06f99e8e9427096deee9c99ac0de7a
Unknown Frame: size=23146, net_delay=93, decode_delay=12, encode_delay=17, total_delay=122, md5=ebfe7f8c7e024212ee55fc817377ec2f
Unknown Frame: size=22235, net_delay=94, decode_delay=12, encode_delay=17, total_delay=123, md5=01a9c3365a27eeaeb8944a7bcdc665bc
Unknown Frame: size=21916, net_delay=94, decode_delay=12, encode_delay=18, total_delay=124, md5=2cb628d73d9c5ea5500ff6ec294efb3f
Unknown Frame: size=20727, net_delay=96, decode_delay=12, encode_delay=17, total_delay=125, md5=133f50b3c2407fd5a4901bd7cde27cf8
Unknown Frame: size=18595, net_delay=98, decode_delay=12, encode_delay=16, total_delay=126, md5=a0b954473863e3ad989d38cf8cc10bc3
Unknown Frame: size=19707, net_delay=97, decode_delay=12, encode_delay=16, total_delay=125, md5=7019e6c3d796ab01134dba2eda7f2992
Unknown Frame: size=22117, net_delay=95, decode_delay=12, encode_delay=17, total_delay=124, md5=4b9ef55ced19d8051fcfbe149dbd9e69
Unknown Frame: size=22790, net_delay=95, decode_delay=12, encode_delay=17, total_delay=124, md5=a01f8a0dfdbb41dd75238c8e30e2d057
