Unknown Frame: size=81458, net_delay=155, decode_delay=7, encode_delay=130, total_delay=292, md5=ccae32f973abbc099d80545367bd71df
Unknown Frame: size=28359, net_delay=123, decode_delay=3, encode_delay=109, total_delay=235, md5=7bf050684ec6c7176d7f5711985b0f28
Unknown Frame: size=31512, net_delay=131, decode_delay=3, encode_delay=93, total_delay=227, md5=3ab0642f1f9d2384758e4ab83f993fd2
Unknown Frame: size=43843, net_delay=127, decode_delay=3, encode_delay=98, total_delay=228, md5=fc8ab536ed73708ba95150c9d9280784
Unknown Frame: size=38690, net_delay=148, decode_delay=3, encode_delay=77, total_delay=228, md5=6605e67b13041419c7f7adcf81436ad1
Unknown Frame: size=43450, net_delay=159, decode_delay=3, encode_delay=69, total_delay=231, md5=e5fe334e66f7c4c8b43530a56ea0af03
Unknown Frame: size=52947, net_delay=154, decode_delay=4, encode_delay=73, total_delay=231, md5=bb884cd34b8bef0089e39addf0dab50f
Unknown Frame: size=48359, net_delay=151, decode_delay=3, encode_delay=76, total_delay=230, md5=6e7de5de41a87279f06341d145ded7f7
Unknown Frame: size=16083, net_delay=159, decode_delay=3, encode_delay=65, total_delay=227, md5=c1963ace9b41b1f3e55d24ddcf30f397
Unknown Frame: size=15201, net_delay=135, decode_delay=12, encode_delay=88, total_delay=235, md5=a9e5f0e44bdd42ea29d4fa01be8f10f5
Unknown Frame: size=22500, net_delay=149, decode_delay=8, encode_delay=75, total_delay=232, md5=32323327febfa96d213325b16a258ad2
Unknown Frame: size=23034, net_delay=165, decode_delay=3, encode_delay=59, total_delay=227, md5=2cfff15cfdaa45089c33bb95f30fb74b
Unknown Frame: size=24227, net_delay=137, decode_delay=3, encode_delay=87, total_delay=227, md5=21dc59d7955fa822d35588f9ec8eca93
Unknown Frame: size=28999, net_delay=154, decode_delay=4, encode_delay=70, total_delay=228, md5=bda6f72ab56b685a63a02272907b746c
Unknown Frame: size=29174, net_delay=165, decode_delay=4, encode_delay=58, total_delay=227, md5=73133f562a5bef7e495b8a3bb6c5995a
Unknown Frame: size=29797, net_delay=167, decode_delay=10, encode_delay=56, total_delay=233, md5=0c70140c5b1924348e4e59dc20475745
