Unknown Frame: size=6870, net_delay=116, decode_delay=2, encode_delay=55, total_delay=173, md5=38fa6df4c7099cfec42f31dc235f3270
Unknown Frame: size=7272, net_delay=112, decode_delay=2, encode_delay=57, total_delay=171, md5=f6dc0769ae0d248273cca5b525828ea8
Unknown Frame: size=8113, net_delay=126, decode_delay=2, encode_delay=43, total_delay=171, md5=612013eb13a9625193e54eaed8af7463
Unknown Frame: size=9945, net_delay=125, decode_delay=2, encode_delay=41, total_delay=168, md5=e38759bb7c232f9ef4e8ce24cf359813
Unknown Frame: size=11471, net_delay=122, decode_delay=3, encode_delay=43, total_delay=168, md5=79dab769aea5e0d71b6d9a72d3829a8e
Unknown Frame: size=12074, net_delay=118, decode_delay=3, encode_delay=44, total_delay=165, md5=41c5e582b68d3dd251b3eac40c6ec10d
Unknown Frame: size=12325, net_delay=114, decode_delay=3, encode_delay=48, total_delay=165, md5=47035594e05818a82ad7c03d6ada0521
Unknown Frame: size=21141, net_delay=90, decode_delay=3, encode_delay=72, total_delay=165, md5=e8dcabcfc7f771cd8327b66d209e973d
Unknown Frame: size=7384, net_delay=124, decode_delay=2, encode_delay=35, total_delay=161, md5=aa0e13d2e35d87cba06ea85598f705c7
Unknown Frame: size=10750, net_delay=120, decode_delay=3, encode_delay=37, total_delay=160, md5=96c32a07bff82be1887b624f43c07087
Unknown Frame: size=14449, net_delay=125, decode_delay=3, encode_delay=30, total_delay=158, md5=48fc2e6e33ec0d46405451332b4f65a8
Unknown Frame: size=14651, net_delay=120, decode_delay=2, encode_delay=35, total_delay=157, md5=602f16dc1fbefc0a35186118250b630a
Unknown Frame: size=13500, net_delay=119, decode_delay=3, encode_delay=33, total_delay=155, md5=f3d55b3a7b5a984f6a05252857eb6484
Unknown Frame: size=9504, net_delay=114, decode_delay=3, encode_delay=36, total_delay=153, md5=b890ec6a0e6e825f76667e0de0013711
Unknown Frame: size=11028, net_delay=113, decode_delay=3, encode_delay=37, total_delay=153, md5=bb1fea64d500e831940591814450265d
Unknown Frame: size=12542, net_delay=113, decode_delay=2, encode_delay=37, total_delay=152, md5=588be5243c1c188930108495aa3c6768
Unknown Frame: size=18713, net_delay=106, decode_delay=3, encode_delay=43, total_delay=152, md5=3dfeb581e28aa23272f578561ffcf8fc
Unknown Frame: size=15760, net_delay=111, decode_delay=2, encode_delay=38, total_delay=151, md5=ea8ce38a6b3c63742c6bac273734074e
Unknown Frame: size=15019, net_delay=111, decode_delay=3, encode_delay=37, total_delay=151, md5=904070e3c4221e2ee17202c9a4b523a2
Unknown Frame: size=10323, net_delay=119, decode_delay=2, encode_delay=30, total_delay=151, md5=932e700e53d512033ccf9a64a06d9c02
Unknown Frame: size=46056, net_delay=106, decode_delay=7, encode_delay=126, total_delay=239, md5=f71bfbd682336a56c5acc2a847422d0d
Unknown Frame: size=10505, net_delay=96, decode_delay=2, encode_delay=85, total_delay=183, md5=313f8e71d35b311521c3f28081d1c678
Unknown Frame: size=12409, net_delay=123, decode_delay=2, encode_delay=60, total_delay=185, md5=5f1a1f4568f79ccd8c9820ef8b41173e
Unknown Frame: size=14090, net_delay=114, decode_delay=3, encode_delay=69, total_delay=186, md5=97ad2164a3192e690152f283ca5293df
Unknown Frame: size=15518, net_delay=113, decode_delay=2, encode_delay=72, total_delay=187, md5=f9e921bfc7fdc80befb5fe42d0bf40aa
Unknown Frame: size=12073, net_delay=120, decode_delay=3, encode_delay=65, total_delay=188, md5=1e86307379b1f4e768c93e4beb39d9f2
Unknown Frame: size=12683, net_delay=119, decode_delay=3, encode_delay=67, total_delay=189, md5=a587aa9e38934dc2e15b38f8f52b181d
Unknown Frame: size=11379, net_delay=126, decode_delay=3, encode_delay=60, total_delay=189, md5=1b4908454aa379ef3d6eb9a6a52b72fb
Unknown Frame: size=13079, net_delay=134, decode_delay=3, encode_delay=53, total_delay=190, md5=bb79201c376c61364e0ff99147b47c5c
Unknown Frame: size=14504, net_delay=132, decode_delay=2, encode_delay=55, total_delay=189, md5=8a3fc05219918c9d597f70351c02f520
Unknown Frame: size=18242, net_delay=130, decode_delay=2, encode_delay=57, total_delay=189, md5=3e9e9871bcdcf38a10917d997a17f58f
Unknown Frame: size=16706, net_delay=126, decode_delay=3, encode_delay=62, total_delay=191, md5=4818c173a8709adfe665291498df8064
Unknown Frame: size=20232, net_delay=136, decode_delay=3, encode_delay=53, total_delay=192, md5=472da47fa9ce1406efaed2d57ac73437
Unknown Frame: size=17584, net_delay=136, decode_delay=3, encode_delay=51, total_delay=190, md5=8e676342cf2ad1c652665d47408f86e6
Unknown Frame: size=16641, net_delay=130, decode_delay=2, encode_delay=56, total_delay=188, md5=f996bba810df1eebc320a995c1902aed
