P Frame: size=21482,  delay=44, sendms=74107687, recvms=74107731, md5=0cf82a63458deb072a0b41b3db5e2cc4,
P Frame: size=23266,  delay=45, sendms=74107723, recvms=74107768, md5=77ac5863f81b5a63e326d628c3a8cec6,
P Frame: size=22388,  delay=44, sendms=74107759, recvms=74107803, md5=0bd99db5532cf86918125500ff7fc987,
P Frame: size=21086,  delay=45, sendms=74107795, recvms=74107840, md5=e9941fa2d3ebfbfc6aa7bb5fe9a3ac89,
P Frame: size=20563,  delay=43, sendms=74107831, recvms=74107874, md5=ed9ac85fae04a4877c75a41d1c6a227d,
P Frame: size=19774,  delay=46, sendms=74107866, recvms=74107912, md5=cfd3e9bb32fce41b807a1a78f807cf50,
P Frame: size=17890,  delay=47, sendms=74107901, recvms=74107948, md5=5d0932b52249bfd9c28e4a6c339cee9b,
P Frame: size=22048,  delay=47, sendms=74107937, recvms=74107984, md5=4dbb9f43fe39a2d8a30065e4010cf83d,
P Frame: size=21818,  delay=46, sendms=74107974, recvms=74108020, md5=ce92b938e5f58ec3eed354422e3f832a,
P Frame: size=21576,  delay=46, sendms=74108011, recvms=74108057, md5=46209d6edb540a905becd9add3342218,
P Frame: size=21320,  delay=47, sendms=74108046, recvms=74108093, md5=f37c38081b13f2f0d36f990ea3c8e9a6,
P Frame: size=23657,  delay=47, sendms=74108083, recvms=74108130, md5=157619e75a429fdd139ebea630ad09d6,
P Frame: size=22550,  delay=48, sendms=74108118, recvms=74108166, md5=729d53f5cdf972e8c0182a2f40589f63,
I Frame: size=88817,  delay=133, sendms=74108161, recvms=74108294, md5=71d6fe3d40cf8eb7d3b7a5792c90ef30,
P Frame: size=13970,  delay=114, sendms=74108196, recvms=74108310, md5=6045c18c2da16ded0cda5fb03cf80f9a,
P Frame: size=14864,  delay=94, sendms=74108235, recvms=74108329, md5=66cacb7900d7f48a04ce58c21284ba41,
P Frame: size=14506,  delay=91, sendms=74108260, recvms=74108351, md5=ab30792e1ac995c03e0563445fc65a8e,
P Frame: size=13829,  delay=74, sendms=74108297, recvms=74108371, md5=f3a32e4d4cfe243707185e641f842e40,
